,longitude,latitude,month,hour,day,local_authority_(district),1st_road_class,1st_road_number,speed_limit,accident,weather_conditions,junction_detail
0,-3.658101,51.625085,8,11,23,740,6,0,30,1,5,0
1,-3.658101,51.625085,4,4,28,274,6,0,30,0,5,0
2,-3.658101,51.625085,4,4,9,139,6,0,30,0,5,0
3,-3.658101,51.625085,11,9,2,405,6,0,30,0,5,0
4,-1.545764,52.27915,5,15,31,294,6,0,30,1,1,9
5,-1.545764,52.27915,11,21,22,74,6,0,30,0,1,9
6,-1.545764,52.27915,4,13,22,347,6,0,30,0,1,9
7,-1.545764,52.27915,9,21,24,540,6,0,30,0,1,9
8,-1.743388,52.134738,7,23,28,293,4,4632,50,1,1,0
9,-1.743388,52.134738,12,8,4,561,4,4632,50,0,1,0
10,-1.743388,52.134738,6,9,18,555,4,4632,50,0,1,0
11,-1.743388,52.134738,7,13,21,595,4,4632,50,0,1,0
12,-2.539651,52.736623,8,14,26,284,3,442,60,1,1,0
13,-2.539651,52.736623,2,12,27,682,3,442,60,0,1,0
14,-2.539651,52.736623,4,12,15,52,3,442,60,0,1,0
15,-2.539651,52.736623,6,10,26,612,3,442,60,0,1,0
16,0.82632,51.862995,9,8,22,455,4,1022,30,1,2,3
17,0.82632,51.862995,7,11,2,802,4,1022,30,0,2,3
18,0.82632,51.862995,12,8,27,603,4,1022,30,0,2,3
19,0.82632,51.862995,12,5,22,809,4,1022,30,0,2,3
20,-0.231434,51.767813,7,21,14,438,4,197,30,1,2,8
21,-0.231434,51.767813,5,0,28,730,4,197,30,0,2,8
22,-0.231434,51.767813,4,17,6,373,4,197,30,0,2,8
23,-0.231434,51.767813,4,20,21,899,4,197,30,0,2,8
24,-1.234481,50.918379,4,9,21,502,3,334,30,1,1,3
25,-1.234481,50.918379,9,12,11,603,3,334,30,0,1,3
26,-1.234481,50.918379,6,18,25,930,3,334,30,0,1,3
27,-1.234481,50.918379,5,11,5,504,3,334,30,0,1,3
28,-0.119362,51.557892,11,13,27,3,3,503,30,1,1,6
29,-0.119362,51.557892,8,9,17,146,3,503,30,0,1,6
30,-0.119362,51.557892,1,1,15,342,3,503,30,0,1,6
31,-0.119362,51.557892,10,16,3,191,3,503,30,0,1,6
32,-2.28635,52.791335,7,20,17,255,5,261,60,1,1,0
33,-2.28635,52.791335,7,3,15,349,5,261,60,0,1,0
34,-2.28635,52.791335,1,7,28,91,5,261,60,0,1,0
35,-2.28635,52.791335,1,3,22,723,5,261,60,0,1,0
